,playerId,season,name,team,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,sv_pct,next_sv_pct
41,8475683,2012,Sergei Bobrovsky,CBJ,38,133137.0,80.86,74.0,1940.0,71.39,74.0,239.94,167.0,1046.94,1084.0,29.45,53.0,598.51,547.0,438.5,542.0,78.18,1147.0,251.0,66.0,30.8,30.66,19.39,26.0,29.0,19.0,476.0,0.9317343173431735,0.9228958210712184
86,8473461,2012,Steve Mason,PHI,20,65409.0,42.43,47.0,996.0,36.53,31.0,121.26,105.0,536.81,561.0,15.71,17.0,304.17,243.0,226.48,297.0,41.57,597.0,118.0,33.0,17.66,14.03,10.75,21.0,15.0,11.0,248.0,0.9162210338680927,0.9171901770416905
126,8471695,2012,Tuukka Rask,BOS,36,126161.0,89.17,70.0,1830.0,66.93,55.0,223.8,260.0,983.05,980.0,36.04,30.0,541.17,388.0,404.88,552.0,86.66,1010.0,260.0,88.0,28.89,31.84,28.44,25.0,18.0,27.0,472.0,0.9285714285714286,0.9299207800121877
301,8471219,2013,Al Montoya,WPG,28,92454.0,65.01,59.0,1390.0,48.49,47.0,167.84,166.0,720.79,737.0,26.87,34.0,397.02,318.0,301.84,396.0,60.33,754.0,187.0,63.0,20.83,22.24,21.94,25.0,23.0,11.0,386.0,0.9199457259158752,0.891832229580574
386,8471774,2013,Alex Stalock,S.J,24,75103.0,40.64,39.0,1043.0,36.41,36.0,129.97,139.0,555.28,571.0,21.78,21.0,307.63,234.0,242.27,306.0,39.87,615.0,126.0,34.0,16.63,14.81,9.2,14.0,16.0,9.0,268.0,0.9316987740805605,0.9023508137432188
371,8474765,2013,Anders Lindback,T.B,23,78139.0,58.18,63.0,1123.0,42.4,38.0,136.85,129.0,608.47,580.0,21.62,21.0,344.67,266.0,252.09,325.0,56.18,634.0,167.0,53.0,19.49,19.9,18.8,16.0,26.0,21.0,269.0,0.8913793103448275,0.9085213032581454
451,8471418,2013,Anton Khudobin,CAR,36,125058.0,92.8,80.0,1989.0,74.7,85.0,256.87,224.0,1108.45,1076.0,34.85,40.0,617.52,510.0,465.62,602.0,90.19,1198.0,271.0,75.0,36.44,33.55,22.82,23.0,29.0,28.0,445.0,0.9256505576208178,0.9005714285714286
131,8474550,2013,Antti Niemi,S.J,64,223217.0,140.79,149.0,3440.0,114.97,100.0,403.6,469.0,1737.02,1706.0,71.47,71.0,971.41,765.0,735.84,882.0,135.37,1900.0,403.0,120.0,51.15,48.46,41.16,51.0,57.0,41.0,1017.0,0.9126611957796014,0.9144119271120927
146,8471750,2013,Ben Bishop,T.B,63,215181.0,148.86,133.0,3298.0,124.21,110.0,397.22,438.0,1759.48,1759.0,54.28,53.0,1009.28,796.0,737.02,929.0,144.35,1906.0,447.0,120.0,55.72,53.14,39.99,46.0,49.0,38.0,825.0,0.9243888573052871,0.9160493827160494
441,8475681,2013,Ben Scrivens,EDM,40,132607.0,109.02,94.0,2179.0,83.3,94.0,281.86,272.0,1225.33,1205.0,31.93,38.0,671.83,570.0,515.18,632.0,102.89,1297.0,297.0,107.0,36.81,36.54,35.67,34.0,31.0,29.0,478.0,0.9219917012448133,0.8897535667963683
